#repetition,Consumer0,Consumer1,Consumer2,Consumer3,Consumer4,Consumer5,Consumer6,Consumer7,Consumer8,Consumer9,Consumer10,Consumer11,Consumer12,Consumer13,Consumer14,Consumer15,Consumer16,Consumer17,Consumer18,Consumer19,Consumer20,Consumer21,Consumer22,Consumer23,Consumer24,Consumer25,Consumer26,Consumer27,Consumer28,Consumer29,Consumer30,Consumer31,Consumer32,Consumer33,Consumer34,Consumer35,Consumer36,Consumer37,Consumer38,Consumer39,Consumer40,Consumer41,Consumer42,Consumer43,Consumer44,Consumer45,Consumer46,Consumer47,Consumer48,Consumer49
399,1,1,2,0,2,1,1,2,2,2,2,1,2,1,0,2,1,1,2,2,2,1,1,1,1,1,2,1,1,2,2,1,1,2,2,2,2,2,2,2,1,1,1,1,2,2,1,1,2,2
400,0,0,1,0,1,2,2,1,1,1,1,2,1,0,0,1,2,2,1,1,1,2,0,2,2,2,1,2,2,1,1,2,2,1,1,1,1,1,1,1,0,2,2,0,1,1,2,0,1,1
401,2,0,2,2,2,1,1,2,0,2,2,1,2,2,0,0,1,1,2,2,2,1,2,1,1,1,2,1,1,2,0,1,1,2,2,2,0,2,2,2,2,1,1,2,2,2,1,2,2,0
402,1,2,1,1,1,2,0,1,2,1,1,0,1,1,0,0,2,2,1,1,1,2,1,2,0,2,1,0,2,1,2,2,2,1,1,1,2,1,1,1,1,2,2,1,1,1,0,1,1,0
403,2,1,0,2,0,1,0,2,1,2,2,2,0,0,2,2,1,1,2,2,2,1,2,1,0,1,0,2,1,2,1,1,1,2,2,0,1,2,2,2,2,1,1,2,0,2,2,2,2,2
404,1,0,0,1,2,2,2,1,0,1,1,1,0,2,1,1,0,2,1,1,1,2,1,2,2,2,2,1,2,1,0,0,2,1,1,0,0,1,1,1,1,0,2,1,2,1,1,1,1,1
405,2,2,2,2,1,1,1,2,2,2,0,0,0,1,0,2,2,1,0,2,2,1,2,1,1,1,1,2,1,2,2,2,1,2,2,0,2,0,0,0,2,0,1,2,1,0,2,2,2,2
406,1,1,1,1,2,2,0,1,1,1,0,0,2,2,0,1,1,2,2,1,1,2,1,2,2,2,0,1,2,1,1,1,2,1,1,2,1,2,2,2,1,2,2,1,2,2,1,1,1,1
407,2,2,0,2,1,1,0,2,0,2,2,2,1,1,2,2,2,1,1,2,2,1,0,1,1,1,2,2,1,2,0,2,1,0,2,1,0,1,1,1,0,1,1,0,1,1,2,2,2,2
408,1,1,0,1,2,2,2,1,2,1,1,1,2,2,1,1,1,2,2,1,1,2,0,2,2,2,1,1,2,1,2,1,2,0,1,2,2,2,2,0,2,2,2,2,2,2,1,1,1,1
409,2,0,0,2,1,1,1,2,1,0,2,2,1,1,0,2,2,1,1,2,2,1,2,1,1,1,0,2,1,0,1,2,1,2,2,1,1,1,1,2,1,1,1,1,1,1,2,2,2,2
410,1,0,2,1,2,2,2,1,0,2,1,1,2,2,2,1,1,0,2,1,1,2,1,2,2,0,2,1,0,2,0,1,2,1,1,0,0,2,2,1,2,2,0,2,0,0,1,1,1,1
411,2,2,1,2,1,1,1,0,0,1,2,2,1,1,1,2,2,2,1,2,2,1,0,1,1,2,1,2,2,1,2,2,1,2,2,2,2,1,1,2,1,1,2,1,0,0,2,2,2,0
412,1,1,0,1,2,2,2,2,2,2,1,1,2,2,0,1,1,1,2,1,1,2,2,2,2,1,0,1,1,2,1,1,2,1,1,1,1,2,2,1,2,0,1,2,2,2,1,1,1,2
413,0,0,2,0,1,1,1,1,1,1,2,2,1,1,0,2,2,2,1,0,2,1,1,1,1,0,2,2,2,1,0,2,1,2,2,2,0,1,1,2,1,2,2,1,1,1,2,2,2,1
414,0,2,1,2,2,2,2,2,0,2,1,1,2,2,2,1,1,1,2,0,1,2,2,0,2,0,1,1,1,0,2,1,2,1,1,1,2,2,2,1,0,1,1,0,2,2,1,1,1,2
415,0,1,0,1,1,1,1,1,2,1,2,2,1,1,1,2,2,0,1,2,2,1,1,2,1,2,2,2,2,2,1,0,1,2,2,2,1,1,1,2,0,2,2,2,1,1,2,2,2,1
416,2,2,2,2,2,2,2,2,1,2,1,1,2,2,2,1,1,2,2,1,1,2,2,1,2,1,1,1,1,1,0,2,2,1,1,1,0,2,2,1,0,1,1,1,2,2,1,1,1,2
417,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,2,2,1,1,2,0,1,1,2,1,2,2,2,0,0,2,1,1,2,0,2,2,1,1,2,2,2,2,2,1,1,0,0,2,1
418,2,2,2,2,2,2,2,0,2,2,0,0,2,2,2,1,1,0,2,1,0,0,2,1,2,1,1,1,0,2,1,0,2,1,2,1,1,2,2,1,1,1,1,1,2,2,0,2,1,0
419,1,1,1,1,1,1,1,2,1,1,2,2,1,1,1,2,2,2,1,2,0,2,1,2,1,2,2,2,2,1,0,2,1,2,1,2,0,1,1,2,2,0,2,2,1,1,0,1,2,0
420,2,2,2,2,2,0,2,1,0,2,1,1,2,0,2,1,1,1,2,1,0,1,2,1,0,1,1,1,1,2,2,1,0,1,2,1,0,2,2,1,1,0,1,1,2,2,2,2,1,2
421,1,1,1,1,1,0,1,2,2,1,2,2,1,2,1,2,2,2,1,2,2,2,1,2,2,2,2,2,0,1,1,2,2,2,1,2,2,1,1,0,2,2,2,2,1,1,1,1,2,1
422,0,2,2,2,0,2,2,1,1,2,1,1,2,1,0,1,1,1,2,1,1,1,2,1,1,1,1,1,2,2,0,1,1,1,2,1,1,0,2,0,1,1,1,1,0,2,2,0,1,2
423,0,1,1,1,0,1,1,2,0,1,2,2,1,2,2,2,0,2,1,2,2,0,1,2,2,0,2,2,1,1,2,2,0,0,1,2,0,2,1,2,2,0,2,0,2,1,1,2,2,1
424,2,2,2,2,2,2,0,1,2,2,1,1,2,1,1,1,2,1,2,1,1,2,2,1,1,2,1,1,2,2,1,1,2,2,2,1,2,1,2,1,1,0,1,2,1,2,2,1,1,2
425,1,1,1,1,1,1,2,2,1,1,0,2,1,2,2,2,1,2,1,2,2,1,1,2,2,1,2,0,1,1,0,2,1,1,1,2,1,2,1,2,2,2,0,1,2,1,1,0,2,1
426,2,2,2,2,2,2,1,1,0,0,2,1,2,1,1,1,2,1,2,1,1,2,2,1,1,2,1,0,2,2,2,1,0,2,2,1,0,1,2,1,1,1,2,2,1,2,0,2,1,2
427,1,1,1,1,1,1,2,2,2,2,1,2,1,0,2,2,1,2,1,2,2,1,1,2,2,1,2,2,1,1,1,0,2,1,1,2,2,2,1,2,2,0,1,1,0,1,0,1,2,1
428,2,2,2,2,2,2,1,1,1,1,2,1,2,2,1,1,2,1,2,1,1,2,2,1,1,0,1,1,2,2,0,2,1,2,2,1,1,1,2,1,1,2,2,2,2,2,2,2,1,2
429,1,1,1,1,1,1,2,2,0,2,1,0,1,1,2,0,1,2,1,2,2,1,1,2,0,2,2,0,1,1,2,1,0,1,1,0,0,2,1,2,2,1,1,1,1,1,1,1,2,1
430,2,0,0,2,2,2,1,1,2,1,2,2,2,2,1,2,2,1,2,1,1,2,0,1,2,1,1,2,2,2,1,2,2,2,2,2,2,1,2,1,1,2,2,2,0,2,2,0,1,2
431,1,0,2,1,1,1,2,2,1,2,1,1,1,1,2,1,1,2,1,2,2,1,2,0,1,2,2,1,1,1,0,1,1,1,1,1,1,2,1,2,2,1,1,1,2,1,1,2,0,1
432,2,0,1,0,2,2,1,1,0,1,2,2,2,2,1,2,0,1,2,1,1,2,1,0,2,1,1,2,0,2,2,2,0,2,0,2,0,1,2,1,1,2,2,0,1,2,2,1,2,2
433,1,2,2,2,1,1,2,2,2,0,1,1,1,1,2,1,2,2,1,2,2,1,2,2,1,2,2,1,2,1,1,1,2,1,2,1,0,2,1,2,2,1,1,2,2,1,1,2,1,1
434,0,1,1,1,2,0,1,1,1,2,0,2,2,2,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,2,0,2,1,2,1,2,2,1,2,1,1,2,0,1,1,2,2,1,2,2
435,2,2,2,2,1,2,2,0,0,1,2,1,1,1,2,1,0,2,1,2,2,1,2,2,1,2,2,1,2,1,2,1,2,1,2,1,1,2,1,2,2,1,2,2,2,1,1,2,1,1
436,1,1,1,1,0,1,1,0,0,2,1,2,2,2,1,2,2,1,2,1,1,2,1,1,2,1,1,0,1,2,1,2,1,2,1,2,0,1,2,1,1,2,1,1,1,0,2,1,2,2
437,2,2,2,0,0,2,0,2,0,1,2,1,1,1,2,1,1,2,1,0,2,1,2,0,1,2,2,2,2,1,0,1,0,1,2,1,2,2,1,2,2,1,2,2,2,2,1,2,1,1
438,1,1,1,2,2,1,0,1,2,0,1,2,2,2,1,0,2,1,2,0,1,2,1,2,2,1,1,1,1,2,2,2,2,2,1,2,1,1,2,1,1,2,1,1,1,1,0,1,2,2
439,2,2,2,1,1,2,2,2,1,2,2,1,1,1,0,2,1,2,1,0,2,1,2,1,1,2,2,2,0,1,1,1,1,1,2,1,0,2,1,2,0,1,2,2,2,2,2,2,1,1
440,1,1,1,0,2,1,1,1,0,1,1,2,0,2,2,1,0,1,2,2,1,2,1,0,2,1,1,1,2,0,0,0,2,2,1,2,2,1,0,1,2,2,1,1,1,1,1,1,0,2
441,2,0,2,2,1,2,0,2,2,2,0,1,2,1,1,2,2,2,1,1,2,1,2,2,1,0,2,2,1,0,2,0,1,1,0,1,1,2,2,0,1,1,2,2,2,2,2,2,0,1
442,1,0,1,1,2,1,2,1,1,1,2,2,1,0,2,1,1,1,2,2,1,2,1,1,2,2,1,1,2,2,1,2,0,2,2,2,0,1,1,2,2,2,1,1,1,1,1,1,2,0
443,2,2,2,2,1,2,1,2,0,2,1,1,2,0,1,2,0,2,1,1,2,1,2,2,1,1,2,2,1,1,0,1,2,1,1,1,2,2,2,1,1,1,2,2,2,2,2,2,1,2
444,1,1,1,1,2,1,2,1,0,1,0,2,1,2,2,1,2,1,2,0,1,2,1,1,2,2,1,1,2,2,2,0,1,2,2,2,1,1,1,2,2,2,1,1,1,1,1,1,0,1
445,0,2,2,2,1,2,1,2,2,2,2,1,0,1,1,2,1,2,1,0,2,1,0,2,1,1,0,0,1,1,1,2,2,1,1,1,0,2,2,1,1,1,2,2,2,2,2,2,2,2
446,0,1,1,1,0,1,2,1,1,1,1,2,2,2,0,1,2,1,2,2,1,2,2,1,2,2,2,2,2,2,0,1,1,0,2,2,2,1,1,2,0,2,1,1,1,1,1,1,1,1
447,2,2,0,2,2,2,1,2,0,2,2,1,1,1,2,2,1,0,1,1,2,1,1,2,1,1,1,1,1,1,2,2,0,2,1,1,1,2,2,1,2,1,2,2,0,2,2,2,2,2
448,1,1,2,1,1,1,2,1,0,1,1,2,0,2,1,1,2,2,0,2,1,2,0,1,2,2,2,2,2,0,1,1,0,1,2,0,0,1,1,2,1,2,1,1,2,1,1,1,1,1
449,2,2,1,2,2,2,1,2,2,2,2,1,2,1,2,2,1,1,2,1,2,1,2,2,1,1,1,1,1,0,0,2,2,2,1,2,0,2,2,1,2,1,2,2,1,2,2,0,0,2
450,1,1,2,1,1,1,2,1,1,1,1,2,1,2,1,1,2,2,1,2,1,0,1,1,2,0,2,2,2,2,2,1,1,1,2,1,2,1,1,0,1,0,1,1,2,1,1,2,2,1
451,2,2,1,2,2,2,1,2,0,2,2,1,2,1,2,2,1,1,2,1,2,2,0,2,1,2,1,1,1,1,1,2,2,2,1,2,1,2,0,2,2,0,0,2,1,2,2,1,1,0
452,1,1,0,1,1,1,2,1,2,1,1,2,1,2,1,1,0,0,1,2,1,1,2,1,0,1,0,2,2,2,0,1,1,1,2,1,0,1,2,1,1,2,2,1,2,1,1,2,2,2
453,2,2,2,0,0,0,1,2,1,0,2,1,2,1,2,0,0,2,2,1,2,2,1,2,2,2,2,1,1,1,2,2,2,0,1,2,2,2,1,2,2,1,1,2,1,2,0,1,1,1
454,1,1,1,0,2,2,2,1,0,2,1,2,1,2,1,0,0,1,1,2,1,1,2,1,1,1,1,2,2,0,1,1,1,2,2,1,1,1,2,1,1,2,2,1,2,1,0,0,2,2
455,2,2,2,2,1,1,1,2,2,1,2,1,2,1,2,2,0,0,2,1,2,2,1,2,2,2,0,1,1,0,0,2,2,1,1,2,0,2,1,2,2,1,1,2,1,2,2,2,1,1
456,1,1,1,1,2,0,0,1,1,2,1,2,1,0,1,1,2,2,1,0,1,1,2,1,1,1,2,2,2,2,2,1,1,2,2,1,2,1,2,1,1,0,2,1,2,1,1,1,2,2
457,0,0,2,2,1,2,0,2,0,1,2,1,2,2,0,2,1,1,2,0,0,2,1,2,2,2,1,1,1,1,1,2,2,1,1,0,1,2,1,2,2,2,1,2,1,0,0,2,1,1
458,2,2,1,1,2,1,2,1,2,2,1,2,1,1,2,1,2,2,1,2,0,1,2,1,1,1,2,0,2,2,0,1,1,0,2,0,0,1,2,1,1,1,2,1,2,2,2,1,2,0
459,1,1,0,0,1,2,1,2,1,1,2,1,2,2,1,0,1,1,2,1,2,2,1,2,2,2,1,2,1,1,0,2,2,0,1,2,2,0,1,2,2,2,1,2,1,1,1,2,1,0
460,2,2,2,2,0,1,2,1,0,2,1,2,1,1,0,2,2,0,1,2,1,1,2,1,1,1,2,1,2,2,2,1,1,2,2,1,1,0,2,1,1,1,2,1,2,2,2,1,2,2
461,1,1,1,1,2,2,1,2,2,1,2,1,0,2,0,1,1,0,2,1,2,2,1,2,2,2,1,2,1,1,1,0,2,1,1,0,0,2,1,0,2,2,1,2,1,1,1,2,1,1
462,2,2,2,2,1,1,0,1,1,2,1,0,2,1,2,2,2,0,1,2,1,1,2,1,1,1,2,1,2,0,0,2,1,2,0,0,2,1,2,2,1,1,0,1,0,0,2,1,0,2
463,1,1,1,1,2,2,2,2,0,1,0,2,1,2,1,1,1,2,2,1,2,2,1,2,2,2,1,2,1,0,2,1,2,1,2,2,1,2,1,1,2,0,0,0,2,0,1,2,2,1
464,2,2,2,2,1,1,1,1,2,2,2,1,2,1,2,2,2,1,1,2,1,1,2,1,1,1,2,1,2,2,1,2,1,0,1,1,0,1,0,2,1,2,2,0,1,2,2,1,1,2
465,1,1,1,1,2,2,2,2,1,1,1,0,1,2,1,1,1,2,2,1,0,2,1,2,2,2,1,2,1,1,0,1,0,2,2,2,2,2,2,1,2,1,1,0,2,1,1,2,2,1
466,2,0,2,2,1,1,1,1,0,2,2,2,2,1,2,0,0,1,1,2,2,1,2,1,1,1,2,1,2,2,2,0,2,1,1,1,1,1,1,0,1,2,0,2,1,0,2,1,1,0
467,1,2,1,1,2,2,2,2,2,1,1,1,1,2,1,2,2,2,2,1,1,2,1,0,0,2,1,2,1,1,1,2,1,0,2,2,0,2,2,0,2,1,2,1,0,2,1,0,2,2
468,2,1,0,2,1,1,1,1,1,2,2,2,0,1,2,1,1,1,1,2,2,1,2,2,2,1,2,1,2,0,0,1,2,0,1,1,2,1,1,2,1,0,1,2,2,1,2,2,1,1
469,1,2,2,1,2,0,2,2,0,1,1,1,2,0,1,2,2,2,2,1,1,0,1,1,1,2,1,0,1,2,0,2,1,2,2,2,1,2,0,1,2,2,2,1,1,2,1,1,0,2
470,2,1,1,0,1,2,1,1,2,2,2,2,1,2,2,1,1,1,1,2,2,2,2,2,2,1,0,2,2,1,2,1,2,1,1,1,0,1,2,2,1,1,1,0,0,1,2,2,2,1
471,1,2,2,2,2,1,0,2,1,1,1,1,0,1,1,2,2,2,2,1,1,1,1,1,1,2,0,1,1,2,1,2,1,2,2,2,2,2,1,1,2,2,0,2,2,2,1,1,1,2
472,2,1,1,1,1,2,2,1,0,2,2,2,2,2,2,1,1,1,1,0,2,0,2,2,2,1,2,2,2,1,0,1,2,1,1,1,1,1,2,2,1,1,2,1,1,1,2,2,0,1
473,1,2,2,2,2,1,1,2,2,1,1,1,1,1,1,2,2,2,2,2,1,0,1,1,1,2,1,1,1,2,2,0,1,2,0,2,0,0,1,1,2,2,1,2,2,0,1,1,2,0
474,2,1,1,1,1,2,2,1,1,2,2,2,2,2,2,1,1,1,1,1,0,2,2,2,2,1,0,0,2,1,1,2,2,1,2,1,2,2,2,0,1,1,2,1,1,0,2,2,1,2
475,1,2,2,0,2,1,1,2,0,1,1,1,1,1,1,2,2,2,0,2,2,1,1,1,1,2,2,2,1,2,0,1,1,2,1,2,1,1,1,2,2,0,1,2,2,2,1,1,2,1
476,2,1,1,2,1,2,2,1,0,2,2,2,2,0,2,1,1,1,2,1,1,2,2,2,2,1,1,1,0,1,2,2,2,1,2,1,0,2,2,1,1,0,0,1,1,1,2,2,1,2
477,1,2,2,1,0,1,1,2,2,1,1,1,1,2,1,2,2,2,1,2,0,1,1,1,1,2,2,2,2,2,1,1,1,2,1,2,2,1,1,0,2,2,2,0,2,2,1,1,2,1
478,2,1,1,2,2,2,2,1,1,2,0,2,2,1,2,1,1,1,2,1,2,2,2,2,2,1,1,1,1,1,0,2,2,1,2,1,1,2,0,2,1,1,1,0,1,1,2,2,1,2
479,1,2,0,1,1,1,1,0,0,1,2,1,1,2,1,0,2,2,1,2,1,1,1,1,1,0,2,0,2,2,0,1,1,2,1,2,0,1,2,1,2,2,0,2,2,0,1,1,2,1
480,2,1,2,0,2,2,2,2,2,2,1,2,2,1,2,2,1,1,2,1,2,2,2,2,2,2,1,0,1,1,2,2,2,1,2,1,2,2,1,2,1,1,0,1,1,2,2,2,1,2
481,1,2,1,2,1,1,1,1,1,1,2,1,1,2,1,1,2,2,1,2,1,1,1,1,1,1,2,2,2,2,1,1,1,2,1,2,1,1,2,1,2,2,2,2,2,1,1,1,2,1
482,2,1,2,1,2,2,2,2,0,2,1,2,0,1,2,2,1,1,2,1,2,2,2,2,2,2,1,1,1,1,0,2,0,1,2,1,0,2,1,2,1,1,1,1,1,2,2,2,1,2
483,1,2,1,2,1,1,1,1,2,1,2,1,2,0,1,1,2,2,1,2,1,1,1,1,1,1,2,0,2,2,2,1,2,2,1,2,2,1,2,1,0,2,0,2,2,1,1,1,2,1
484,2,1,0,1,0,2,2,2,1,2,1,2,1,2,0,2,1,1,2,1,2,2,2,2,2,2,1,2,1,1,1,2,1,1,2,1,1,2,1,2,2,1,0,1,1,0,0,2,1,2
485,1,2,2,0,2,1,1,1,0,1,0,1,2,1,2,1,2,2,1,2,1,1,1,1,1,1,2,1,2,2,0,1,2,2,1,2,0,1,2,1,1,2,2,2,0,2,2,1,0,1
486,2,1,1,2,1,2,2,2,2,2,0,2,1,0,1,2,1,1,2,1,2,2,2,0,2,0,1,2,1,1,2,2,1,1,2,1,0,2,1,2,0,1,1,1,2,1,1,2,2,2
487,1,2,0,1,2,1,1,1,1,1,0,1,2,2,2,1,2,2,1,2,1,1,1,0,1,0,2,1,0,2,1,1,2,0,1,2,2,1,2,1,2,0,2,2,1,2,2,1,1,1
488,2,1,0,2,1,2,2,0,0,0,2,0,1,1,1,2,1,1,2,1,2,2,2,0,2,2,1,0,0,1,0,2,1,2,2,1,1,0,1,2,1,2,1,1,2,1,1,0,2,0
489,1,0,2,1,2,1,1,2,2,2,1,2,2,2,2,1,0,2,1,0,1,1,1,2,1,1,2,2,2,2,2,1,0,1,1,2,0,2,2,1,2,1,0,2,1,2,2,2,1,0
490,2,0,1,2,1,2,0,1,1,1,2,1,1,1,1,0,2,1,2,0,2,2,2,1,2,2,1,1,1,1,1,2,2,0,2,1,2,1,1,2,1,2,2,1,2,1,1,1,2,2
491,1,2,2,1,2,1,2,0,0,0,1,2,2,2,2,2,1,2,1,2,1,1,1,2,1,1,2,2,2,2,0,1,1,2,1,0,1,0,0,1,2,1,1,2,1,0,2,2,1,1
492,0,1,1,2,1,2,1,2,2,2,0,1,1,1,1,1,2,1,2,1,2,0,2,1,2,0,1,1,1,1,0,2,2,1,2,2,0,2,2,2,1,0,2,1,2,2,1,1,0,2
493,2,2,0,1,0,1,2,1,1,1,2,2,2,0,2,0,1,2,1,2,1,0,1,2,1,0,2,2,2,2,2,1,1,2,1,1,2,1,1,1,2,0,1,2,1,1,2,2,0,1
494,1,1,0,2,2,2,1,2,0,0,1,1,1,2,1,2,2,1,0,1,2,2,0,1,2,2,1,1,1,1,1,2,2,1,2,2,1,2,2,2,1,2,2,1,2,2,1,1,2,2
495,2,2,0,1,1,1,2,1,0,0,0,2,2,1,2,1,1,2,0,0,1,1,2,2,1,1,2,2,2,2,0,1,1,0,1,1,0,1,1,1,2,1,1,2,1,1,0,2,1,1
496,1,1,2,2,2,2,1,0,2,2,0,1,1,0,1,2,2,1,2,0,2,2,1,1,2,0,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,1,0,2
497,0,0,1,1,1,1,0,0,1,1,2,2,2,2,0,1,1,2,1,0,1,1,0,2,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,2,1,1,0,1,1,1,2,0,1
498,2,2,2,2,2,2,2,2,0,2,1,1,1,1,2,2,2,1,2,0,2,2,2,1,2,1,1,1,1,1,0,2,2,2,0,2,0,2,2,2,1,2,2,2,0,2,2,1,2,2
499,1,1,1,1,1,1,1,1,2,1,2,0,0,2,1,1,1,2,1,2,1,1,1,2,1,0,2,2,0,2,2,1,1,1,2,1,2,1,1,1,2,1,1,1,2,1,1,2,1,1
500,2,2,2,2,2,2,0,2,1,2,1,2,2,1,2,2,0,1,2,1,2,2,0,1,2,2,1,1,2,1,1,2,0,2,1,2,1,2,2,2,1,2,0,2,1,2,2,1,2,2
501,1,1,1,1,1,1,2,1,0,1,2,1,1,2,1,1,2,0,1,0,1,1,2,2,1,1,2,2,1,2,0,1,0,1,2,1,0,1,1,1,2,1,2,1,2,1,1,2,1,1
502,2,2,2,2,2,0,1,0,2,2,1,2,2,1,0,2,1,2,2,2,2,2,1,1,2,2,1,1,2,1,0,0,2,2,1,2,2,2,2,0,1,2,1,2,1,2,2,1,2,0
503,1,1,1,1,1,0,2,2,1,1,2,1,1,2,2,1,2,1,1,1,1,1,2,2,1,1,2,2,1,2,2,0,1,1,0,1,1,1,1,2,2,1,0,1,2,1,1,2,1,2
504,0,2,2,2,0,0,1,1,0,0,1,2,2,1,1,2,1,2,2,2,2,0,1,1,2,2,1,1,2,1,1,2,2,2,0,2,0,2,0,1,1,0,2,2,1,2,0,1,2,1
505,2,1,1,1,2,2,2,2,2,2,2,1,1,2,0,1,0,1,1,1,1,0,2,2,1,1,2,0,1,2,0,1,1,1,2,1,2,1,2,0,0,2,1,1,2,1,2,2,1,2
506,1,2,2,0,1,1,1,1,1,1,1,2,2,1,2,2,0,0,0,2,0,2,1,1,0,0,1,2,2,1,0,2,2,2,1,2,1,2,1,2,2,1,0,2,1,0,1,1,2,1
507,2,1,1,0,2,2,0,0,0,0,0,1,1,2,1,1,2,2,2,1,2,1,2,2,0,2,2,1,1,2,2,1,1,1,0,1,0,1,2,1,1,2,2,1,2,0,2,2,1,2
508,1,2,2,2,1,1,0,2,0,2,2,2,2,1,0,2,1,1,1,2,1,2,1,1,2,1,1,2,0,1,1,0,0,2,2,2,2,2,1,2,2,1,1,2,1,2,1,1,2,1
509,2,1,1,1,2,0,2,1,2,1,1,1,1,2,0,1,2,2,2,1,2,1,2,2,1,2,2,1,2,0,0,2,2,1,1,1,1,1,2,1,1,2,2,1,2,1,2,2,1,2
510,1,2,2,2,1,2,1,2,1,2,2,2,2,1,2,2,1,1,1,2,1,2,1,1,0,1,1,2,1,2,0,1,1,2,0,2,0,2,1,2,2,1,1,2,1,2,1,1,2,1
511,2,1,1,1,2,1,2,1,0,1,1,1,1,2,1,1,2,2,2,1,0,1,2,2,2,2,2,1,2,1,2,2,2,1,0,1,2,1,2,1,1,2,2,1,2,1,2,0,1,2
512,1,2,2,2,1,2,1,2,2,0,2,2,2,1,2,0,1,1,1,0,2,2,1,1,1,1,1,2,1,0,1,1,1,2,2,2,1,0,1,2,2,1,1,2,1,0,1,2,0,1
513,0,1,1,1,0,1,2,1,1,2,1,1,1,2,1,2,0,2,2,2,1,1,0,2,2,2,2,1,2,0,0,2,2,1,1,1,0,2,2,1,1,2,2,1,2,2,2,1,2,2
514,2,2,2,2,0,0,1,2,0,1,2,2,2,1,0,1,2,1,1,1,2,2,2,1,1,1,1,2,1,0,2,1,1,2,2,0,2,1,1,0,2,1,1,2,1,1,1,2,1,1
515,1,1,1,1,2,2,2,1,2,0,1,1,1,2,2,2,1,0,0,0,1,1,1,2,2,2,2,1,2,0,1,2,2,1,1,2,1,0,2,2,1,2,2,1,2,0,2,1,2,2
516,0,2,0,2,1,1,1,2,1,2,2,2,0,1,1,1,2,2,2,2,2,2,2,1,1,1,1,0,1,2,0,1,1,2,2,1,0,2,1,1,2,1,1,2,1,0,1,2,1,1
517,0,1,2,1,0,2,2,1,0,1,1,1,2,2,2,0,1,1,1,1,1,1,1,2,0,2,0,0,0,1,2,2,2,1,1,2,2,1,2,2,1,2,2,1,2,2,2,1,2,0
518,0,0,1,2,2,1,1,2,2,2,2,0,1,1,1,2,2,0,2,2,2,2,2,1,2,1,2,0,2,2,1,1,1,2,2,1,1,0,1,1,2,1,1,2,1,1,1,2,1,2
519,2,2,2,1,1,0,2,1,1,1,1,2,2,0,2,1,1,2,1,1,1,1,1,0,1,2,1,2,1,1,0,2,2,1,1,2,0,2,0,2,1,2,2,1,0,2,2,1,2,1
520,1,1,1,2,2,2,1,0,0,2,2,1,1,2,1,2,0,1,2,2,2,2,0,2,0,1,2,1,0,0,2,1,1,2,0,1,2,1,2,1,2,1,1,0,2,1,1,0,1,2
521,0,2,0,1,1,1,2,2,2,1,1,2,2,1,2,1,2,2,1,1,1,1,2,1,0,0,1,0,0,2,1,2,2,1,2,2,1,0,1,2,1,2,2,0,1,2,2,2,2,1
522,2,1,2,2,0,0,1,1,1,2,0,1,1,2,1,2,1,1,2,2,2,2,1,0,2,0,2,2,2,1,0,1,1,2,1,1,0,0,2,1,2,1,1,2,2,1,1,1,1,2
523,1,2,1,1,2,2,2,2,0,1,2,2,2,1,0,1,2,2,1,1,1,1,2,2,1,2,1,1,1,2,2,0,2,1,2,2,2,2,1,2,1,2,0,1,1,2,2,2,2,1
524,2,1,2,2,1,1,1,1,2,0,1,1,1,2,2,2,1,1,0,2,0,2,1,1,2,1,2,2,2,1,1,2,1,2,1,1,1,1,0,1,2,1,2,2,2,1,1,1,1,2
525,1,2,1,1,2,0,0,2,1,2,2,0,2,1,1,1,2,2,2,1,2,1,2,2,1,2,1,1,1,2,0,1,2,1,2,2,0,2,2,2,1,2,1,1,1,2,2,2,2,1
526,2,1,2,2,1,2,2,1,0,1,1,0,1,2,2,2,1,1,1,2,1,2,1,1,2,1,2,0,2,1,2,2,1,2,1,1,2,1,1,1,2,1,2,0,2,1,1,1,1,2
527,1,2,1,1,2,1,1,2,2,2,2,2,2,1,1,1,2,2,2,1,2,1,2,2,1,2,1,2,1,2,1,1,0,1,2,2,1,2,2,2,1,0,1,2,1,2,2,2,2,1
528,2,1,2,2,1,2,0,1,1,1,1,1,1,2,2,2,1,1,1,2,1,0,1,1,0,1,2,1,0,1,0,2,2,0,1,1,0,1,1,1,2,0,2,1,2,1,1,1,1,2
529,1,0,1,1,2,1,2,2,0,2,2,0,2,1,1,1,2,2,2,1,2,2,2,2,2,2,1,2,2,0,0,1,1,2,0,2,2,2,2,2,1,0,1,2,1,2,2,2,2,1
530,2,0,2,2,1,2,1,1,2,1,1,2,1,2,2,0,1,1,1,2,1,1,1,1,1,1,0,1,1,2,0,2,2,1,0,1,1,1,1,1,2,2,2,1,2,1,1,1,1,0
531,1,0,1,1,2,1,2,0,1,2,2,1,2,1,1,2,2,2,2,1,0,2,2,2,0,2,2,2,2,1,2,1,1,2,2,2,0,2,2,2,1,1,1,2,1,0,2,2,2,2
532,2,2,0,0,1,0,1,2,0,1,1,2,1,2,0,1,1,1,1,0,2,1,1,1,2,1,1,1,1,2,1,2,2,1,1,1,0,1,1,1,0,0,2,1,0,2,1,1,1,1
